,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,accountId
859,GRANDMASTER,exgix96t3pYrBYFuSqrFvalyTVlbcDdJG6XqGWYM8fdzcCU6,lNCandice,333,77,59,False,False,True,False,KCFlY13tOChxEwH-va61RuUgMXeCTcF8dSZWl040IS5YNZqCihpIi_A7
860,GRANDMASTER,rs5IR2dAWAeaRB5nNhzpsNsTuNLiEAze04azoBKjWHC_-o8,The Bosh,446,227,203,False,False,False,True,iNNPLNyCMOYQYjHSaK0huMLPUHMzD7XLCrv-Kg-eWjwGfw
861,GRANDMASTER,A3cmZWwcB8Rr5jTOHfhaG1Hq5ZABBEz990f1GLKVGqWc6UU,Shi yao,315,83,70,False,False,False,False,qB8kmdfFzcKTXxo17zoTpjvku-ZYlOahqGHlh1Oq5xS_lw
862,GRANDMASTER,EcNVmXPJx9_HVOjltCC8fAbGW8E7zx9WTKHtdWySDaDJhykx,WQ only,458,199,157,False,False,False,True,7_ySpOtGa1IrUBc8LbQI4hUnmfcwbqJLzW3Ygs55FnbRPM58E3Dl7Z5D
863,GRANDMASTER,frvFq-UJzZsNVTxlXpyQGiW-qTjDKnUwl8l4Qf1tgquGzQ2T,Spaceman118,308,63,46,False,False,False,False,UlKkl7szbFJ1OPfd-fBPMv9zl5d5GjKuqKz6h08MVc0KiINwnIg1cFLc
864,GRANDMASTER,Z_tlo2oXj6ZYlslX7_Tsfo39YuE4su_rZhN11oBGOjFgJQFc,Shimamoto San,356,139,111,False,False,False,False,CGGC6uVu_CioOxkYv2BKEIL0Lu_KDnsHnnCXlVSH_ezR7uywGsJ1IwlI
865,GRANDMASTER,WtyX_TRqDXKhaP3N27lzz-qN_9I2f-13kvxkETGxjTa4tx8,Positivityy,315,135,112,False,False,False,False,rX71bc82Cbv-S2N1pSyG_03eCSdpHqMxUtCoDzqgkIDO6hw
866,GRANDMASTER,6a_jXAlKGjfGdW475xwatpHpXl1E78HcNX7UglAFn_dDcGM,Huntervault,394,114,104,False,False,False,False,_41lCp6UcrxM7ExXRMHya3A5mjYJwENTlBt_V8SQNUzekxI
867,GRANDMASTER,mGxhM9SqSIp51kPEXRFMvtMMk2mZII4ETSAxgAUwH5XOCRMOphz3gdxs6A,Infectrix1,471,157,124,False,False,False,True,jy9a3nsJraCmBdI9CGG9wJa-0bteiAERv13V0KKl7U-sM61H6T_xc5FT
868,GRANDMASTER,-eK6s1F1twUgbHWDmxkwGB7CpgGJDPaXyhJBMGIEmID3b7Ya,Dathaniel,427,154,124,False,False,False,False,iGcIIhAo4B7jTH1q9Xnm0Hga7mRLPsS1uhEcJvrfMPucLVuUzFqrrsSx
